condition,outcome,ate
Consensus,behavior_mean,0.7
Consensus,belief_post,2.6
Consensus,concern_mean,1.6
Consensus,distrust_post,-2.0
Consensus,donation_ams,0.09
Consensus,funding_perceptions,0.9
Consensus,inst_trust_mean,1.4
Consensus,newsletter_signup,0.004
Consensus,policy_general,1.5
Consensus,policy_role_mean,1.5
Consensus,policy_specific_mean,1.2
Consensus,trust_multidimensional,2.6
Consensus,trust_post,2.7
Corporate reliance,behavior_mean,0.7
Corporate reliance,belief_post,1.8
Corporate reliance,concern_mean,1.4
Corporate reliance,distrust_post,-2.0
Corporate reliance,donation_ams,0.1
Corporate reliance,funding_perceptions,0.8
Corporate reliance,inst_trust_mean,1.5
Corporate reliance,newsletter_signup,0.004
Corporate reliance,policy_general,1.3
Corporate reliance,policy_role_mean,1.6
Corporate reliance,policy_specific_mean,1.1
Corporate reliance,trust_multidimensional,2.6
Corporate reliance,trust_post,2.8
Extreme weather predictions,behavior_mean,0.8
Extreme weather predictions,belief_post,1.6
Extreme weather predictions,concern_mean,1.7
Extreme weather predictions,distrust_post,-2.1
Extreme weather predictions,donation_ams,0.12
Extreme weather predictions,funding_perceptions,1.2
Extreme weather predictions,inst_trust_mean,1.7
Extreme weather predictions,newsletter_signup,0.005
Extreme weather predictions,policy_general,1.3
Extreme weather predictions,policy_role_mean,1.6
Extreme weather predictions,policy_specific_mean,1.1
Extreme weather predictions,trust_multidimensional,2.8
Extreme weather predictions,trust_post,2.8
Former skeptics,behavior_mean,0.7
Former skeptics,belief_post,2.0
Former skeptics,concern_mean,1.5
Former skeptics,distrust_post,-2.0
Former skeptics,donation_ams,0.08
Former skeptics,funding_perceptions,1.0
Former skeptics,inst_trust_mean,1.3
Former skeptics,newsletter_signup,0.004
Former skeptics,policy_general,1.5
Former skeptics,policy_role_mean,1.5
Former skeptics,policy_specific_mean,1.2
Former skeptics,trust_multidimensional,2.6
Former skeptics,trust_post,2.7
Funding,behavior_mean,0.6
Funding,belief_post,1.4
Funding,concern_mean,1.1
Funding,distrust_post,-2.2
Funding,donation_ams,0.09
Funding,funding_perceptions,8.5
Funding,inst_trust_mean,1.6
Funding,newsletter_signup,0.004
