arm,expertise,moralTrust,support,information_seeking,similarity,conservative,pol_orientation,pol_preference,party_lean,age,age_band,gender_norm
Sociological institute,6.333333333333333,6.25,6.0,6.0,5.0,4.0,4.0,4.0,Independent,30.0,30-44,Male
Interdisciplinary institute,5.333333333333333,5.875,5.0,6.0,6.0,1.0,1.0,1.0,Democrat,27.0,18-29,Female
Economic institute,5.166666666666667,4.0,4.0,4.0,1.0,4.0,4.0,4.0,Independent,44.0,30-44,Male
Interdisciplinary institute,6.0,5.75,6.0,6.0,6.0,3.0,3.0,3.0,Democrat,32.0,30-44,Male
Economic institute,6.0,5.75,4.0,2.0,2.0,2.5,1.0,4.0,Independent,45.0,45-59,Female
Economic institute,5.333333333333333,4.375,5.0,5.0,4.0,5.0,5.0,5.0,Republican,25.0,18-29,Male
Sociological institute,7.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,Democrat,51.0,45-59,Male
Interdisciplinary institute,6.5,2.375,2.0,5.0,1.0,7.0,7.0,7.0,Republican,44.0,30-44,Male
Sociological institute,5.833333333333333,5.0,4.0,6.0,2.0,5.0,5.0,5.0,Republican,44.0,30-44,Male
Sociological institute,6.333333333333333,4.625,5.0,5.0,3.0,3.0,3.0,3.0,Democrat,52.0,45-59,Female
Sociological institute,5.666666666666667,4.75,5.0,6.0,4.0,5.0,5.0,5.0,Republican,52.0,45-59,Male
Economic institute,6.166666666666667,4.75,4.0,4.0,5.0,4.0,6.0,2.0,Democrat,37.0,30-44,Male
Economic institute,2.6666666666666665,2.25,2.0,2.0,1.0,7.0,7.0,7.0,Republican,26.0,18-29,Male
Interdisciplinary institute,6.833333333333333,5.5,5.0,6.0,5.0,4.0,4.0,4.0,Independent,30.0,30-44,Male
Economic institute,6.166666666666667,5.0,5.0,5.0,4.0,4.0,4.0,4.0,Independent,33.0,30-44,Male
Economic institute,7.0,7.0,6.0,7.0,6.0,1.0,1.0,1.0,Democrat,56.0,45-59,Female
Interdisciplinary institute,6.166666666666667,5.75,5.0,7.0,4.0,6.0,7.0,5.0,Republican,42.0,30-44,Male
Economic institute,5.833333333333333,5.5,5.0,5.0,6.0,2.0,2.0,2.0,Democrat,29.0,18-29,Female
Interdisciplinary institute,7.0,6.0,5.0,3.0,4.0,6.5,6.0,7.0,Republican,35.0,30-44,Female
Economic institute,6.166666666666667,4.625,5.0,4.0,4.0,2.0,1.0,3.0,Democrat,62.0,60+,Female
Sociological institute,6.333333333333333,5.375,7.0,6.0,6.0,2.0,2.0,2.0,Democrat,27.0,18-29,Female
Interdisciplinary institute,6.166666666666667,6.0,7.0,7.0,6.0,1.0,1.0,1.0,Democrat,50.0,45-59,Female
Interdisciplinary institute,6.666666666666667,6.0,5.0,6.0,4.0,4.0,4.0,4.0,Independent,27.0,18-29,Female
Interdisciplinary institute,7.0,5.375,7.0,7.0,4.0,1.0,1.0,1.0,Democrat,32.0,30-44,Male
Sociological institute,7.0,5.25,5.0,6.0,4.0,2.5,2.0,3.0,Democrat,42.0,30-44,Female
Interdisciplinary institute,7.0,6.75,6.0,5.0,1.0,1.0,1.0,1.0,Democrat,28.0,18-29,Female
Sociological institute,7.0,6.75,5.0,5.0,4.0,2.5,3.0,2.0,Democrat,38.0,30-44,Male
Sociological institute,5.333333333333333,5.0,5.0,5.0,5.0,2.5,3.0,2.0,Democrat,46.0,45-59,Female
Interdisciplinary institute,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,Independent,31.0,30-44,Male
Sociological institute,6.833333333333333,4.875,6.0,6.0,5.0,4.0,4.0,4.0,Independent,41.0,30-44,Female
Economic institute,4.666666666666667,5.375,6.0,5.0,6.0,1.0,1.0,1.0,Democrat,45.0,45-59,Male
Interdisciplinary institute,4.833333333333333,4.0,4.0,5.0,4.0,6.0,6.0,6.0,Republican,41.0,30-44,Male
Sociological institute,5.833333333333333,6.25,5.0,5.0,5.0,3.0,3.0,3.0,Democrat,32.0,30-44,Female
Sociological institute,5.833333333333333,5.75,5.0,6.0,4.0,5.0,5.0,5.0,Republican,26.0,18-29,Male
Sociological institute,6.333333333333333,5.25,5.0,6.0,6.0,2.5,2.0,3.0,Democrat,26.0,18-29,Male
Sociological institute,7.0,5.125,4.0,5.0,3.0,2.5,3.0,2.0,Democrat,27.0,18-29,Female
Sociological institute,6.5,6.375,7.0,7.0,7.0,1.5,2.0,1.0,Democrat,27.0,18-29,Male
Economic institute,7.0,6.625,6.0,6.0,5.0,3.5,3.0,4.0,Independent,25.0,18-29,Male
Economic institute,6.333333333333333,4.625,6.0,7.0,4.0,6.0,6.0,6.0,Republican,46.0,45-59,Male
Interdisciplinary institute,5.333333333333333,5.0,5.0,5.0,5.0,3.0,3.0,3.0,Democrat,24.0,18-29,Female
Interdisciplinary institute,7.0,7.0,4.0,6.0,3.0,2.0,2.0,2.0,Democrat,31.0,30-44,Male
Economic institute,7.0,7.0,7.0,7.0,6.0,2.0,2.0,2.0,Democrat,39.0,30-44,Male
Sociological institute,6.5,6.0,6.0,7.0,5.0,2.0,3.0,1.0,Democrat,63.0,60+,Male
Economic institute,6.0,6.0,6.0,6.0,5.0,2.5,3.0,2.0,Democrat,49.0,45-59,Male
Sociological institute,5.666666666666667,5.25,4.0,3.0,4.0,6.5,7.0,6.0,Republican,31.0,30-44,Male
Interdisciplinary institute,6.333333333333333,6.125,3.0,1.0,2.0,4.0,4.0,4.0,Independent,27.0,18-29,Female
Sociological institute,5.666666666666667,6.0,5.0,5.0,4.0,4.0,4.0,4.0,Independent,38.0,30-44,Male
Economic institute,6.666666666666667,5.875,5.0,7.0,5.0,3.0,3.0,3.0,Democrat,38.0,30-44,Male
Interdisciplinary institute,6.0,6.0,6.0,6.0,4.0,3.5,4.0,3.0,Democrat,28.0,18-29,Male
Economic institute,6.833333333333333,5.5,6.0,7.0,5.0,1.5,2.0,1.0,Democrat,55.0,45-59,Female
Interdisciplinary institute,6.166666666666667,5.625,4.0,5.0,4.0,3.5,4.0,3.0,Democrat,33.0,30-44,Male
Economic institute,6.166666666666667,3.375,5.0,5.0,2.0,5.0,5.0,5.0,Republican,21.0,18-29,Male
Sociological institute,6.833333333333333,7.0,6.0,5.0,5.0,3.0,3.0,3.0,Democrat,37.0,30-44,Female
Interdisciplinary institute,4.0,4.0,4.0,4.0,1.0,2.5,1.0,4.0,Independent,28.0,18-29,Female
Interdisciplinary institute,6.166666666666667,4.0,4.0,6.0,4.0,4.5,5.0,4.0,Independent,24.0,18-29,Male
Economic institute,5.333333333333333,5.25,6.0,6.0,6.0,2.0,2.0,2.0,Democrat,32.0,30-44,Male
Sociological institute,6.0,6.0,5.0,7.0,4.0,4.5,4.0,5.0,Republican,28.0,18-29,Female
Sociological institute,6.833333333333333,6.125,5.0,7.0,5.0,1.0,1.0,1.0,Democrat,26.0,18-29,Female
Interdisciplinary institute,7.0,7.0,5.0,7.0,4.0,1.0,1.0,1.0,Democrat,27.0,18-29,Female
Economic institute,3.3333333333333335,3.75,3.0,6.0,7.0,1.5,1.0,2.0,Democrat,21.0,18-29,Male
Interdisciplinary institute,6.5,4.875,5.0,6.0,5.0,1.5,2.0,1.0,Democrat,47.0,45-59,Male
Economic institute,6.833333333333333,5.5,6.0,5.0,4.0,5.0,5.0,5.0,Republican,31.0,30-44,Female
Economic institute,6.333333333333333,5.125,5.0,6.0,3.0,3.5,3.0,4.0,Independent,27.0,18-29,Female
Interdisciplinary institute,7.0,6.125,7.0,7.0,6.0,2.5,2.0,3.0,Democrat,28.0,18-29,Male
Economic institute,7.0,6.625,6.0,7.0,4.0,1.5,2.0,1.0,Democrat,57.0,45-59,Female
Sociological institute,6.833333333333333,4.5,4.0,4.0,4.0,5.0,5.0,5.0,Republican,51.0,45-59,Female
Sociological institute,6.833333333333333,5.875,6.0,6.0,5.0,5.0,5.0,5.0,Republican,33.0,30-44,Male
