arm_title,e2_normsbeliefs,e2_distancing,e2_food,e2_others,e2_masks,gender,age_band,party
Placebo control (bird feeding),1.0,0.75,0.9375,0.75,0.875,Male,5,Republican
Reframing Bravery,,0.609375,0.75,0.3125,0.5714285714285714,Female,1,Republican
Reframing Bravery,1.0,0.71875,0.6875,0.78125,0.6428571428571429,Male,5,Independent
Placebo control (bird feeding),0.9166666666666666,0.8125,0.9375,0.78125,0.8214285714285714,Male,5,Republican
Baseline Information,0.9166666666666666,0.921875,0.9375,0.84375,1.0,Male,5,Republican
Protect Others - Linear Cooperation,1.0,0.875,0.625,0.3125,0.8928571428571429,Male,4,Democrat
Placebo control (bird feeding),1.0,0.984375,0.9375,0.9375,0.9821428571428572,Male,5,Republican
Reframing Bravery,0.9166666666666666,0.890625,0.9375,0.46875,0.75,Female,2,Democrat
Reframing Bravery,1.0,0.78125,0.9375,0.96875,0.9107142857142856,Female,5,Democrat
Protect Others - Linear Cooperation,0.75,0.53125,0.6875,0.1875,0.5357142857142857,Male,5,Republican
Baseline Information,1.0,0.828125,1.0,0.9375,0.7321428571428571,Female,5,Democrat
Reframing Bravery,0.9166666666666666,0.640625,0.875,0.59375,0.5,Male,5,Democrat
Placebo control (bird feeding),1.0,0.90625,0.9375,0.875,1.0,Male,5,Republican
Reframing Bravery,1.0,0.8125,0.4375,0.5625,0.3392857142857143,Male,2,Democrat
Baseline Information,1.0,0.703125,0.625,0.875,0.9642857142857144,Female,1,Democrat
Placebo control (bird feeding),1.0,0.90625,0.6875,0.9375,0.75,Female,5,Independent
Protect Others - Linear Cooperation,0.75,0.703125,0.8125,0.625,0.9107142857142856,Male,5,Democrat
Baseline Information,0.8333333333333334,0.921875,1.0,0.65625,0.9107142857142856,Male,5,Democrat
Protect Others - Linear Cooperation,0.75,0.84375,0.8125,0.25,0.3214285714285714,Male,5,Republican
Baseline Information,,0.640625,0.25,0.34375,0.375,Female,4,Republican
Protect Others - Linear Cooperation,1.0,1.0,0.8125,0.90625,0.9464285714285714,Male,5,Republican
Reframing Bravery,1.0,0.921875,0.9375,0.96875,0.9642857142857144,Male,4,Independent
Reframing Bravery,1.0,0.859375,0.9375,0.875,0.9285714285714286,Female,1,Republican
