arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Male,30,30-44,Graduate degree,Strong Republican,4,3,3,0.0,100.0,0.0,100.0,50.0
Control,control,,,,,,,Male,71,60+,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,38,30-44,4-year college,Strong Democrat,0,0,1,69.0,28.0,78.0,95.0,67.5
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Male,61,60+,High school diploma,Moderate Republican,3,3,0,92.0,96.0,88.0,91.0,91.75
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,29,18-29,High school diploma,Moderate Republican,3,3,3,71.0,60.0,40.0,61.0,58.0
Control,control,,,,,,,Male,29,18-29,4-year college,Moderate Democrat,1,1,3,30.0,84.0,64.0,31.0,52.25
Message 09,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_2,Qwen1.5-4B,Qwen1.5,2.0,169.0,1.0,Male,41,30-44,Graduate degree,Strong Democrat,0,0,3,53.0,49.0,68.0,50.0,55.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,53,45-59,Graduate degree,Moderate Republican,3,3,3,19.0,18.0,19.0,19.0,18.75
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,28,18-29,Graduate degree,Moderate Democrat,1,1,3,100.0,0.0,22.0,0.0,30.5
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,50,45-59,4-year college,Independent,2,2,3,100.0,100.0,100.0,8.0,77.0
Control,control,,,,,,,Female,58,45-59,2-year college,Independent,2,2,3,100.0,100.0,20.0,50.0,67.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Male,37,30-44,Graduate degree,Moderate Democrat,1,1,3,80.0,80.0,80.0,85.0,81.25
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Male,42,30-44,Graduate degree,Moderate Democrat,1,1,3,15.0,28.0,43.0,37.0,30.75
Control,control,,,,,,,Male,45,45-59,4-year college,Strong Democrat,0,0,3,100.0,0.0,0.0,100.0,50.0
Control,control,,,,,,,Female,37,30-44,High school diploma,Independent,2,3,2,50.0,50.0,50.0,50.0,50.0
Message 31,AI,ban_solitary_confinement_juveniles_Yi-6B_3,Yi-6B,Yi,3.0,295.0,0.0,Male,30,30-44,High school diploma,Independent,2,2,3,5.0,5.0,5.0,0.0,3.75
Control,control,,,,,,,Female,33,30-44,High school diploma,Moderate Republican,3,3,3,50.0,50.0,50.0,50.0,50.0
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Male,48,45-59,4-year college,Independent,2,2,2,0.0,0.0,0.0,0.0,0.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,49,45-59,4-year college,Moderate Democrat,1,1,3,19.0,27.0,20.0,18.0,21.0
Control,control,,,,,,,Male,38,30-44,Graduate degree,Independent,2,0,2,81.0,27.0,39.0,17.0,41.0
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Male,45,45-59,Graduate degree,Strong Democrat,0,0,3,90.0,10.0,24.0,37.0,40.25
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Female,51,45-59,2-year college,Strong Republican,4,3,3,99.0,99.0,91.0,100.0,97.25
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,57,45-59,Technical certification or trade school,Strong Republican,4,3,3,67.0,89.0,7.0,11.0,43.5
Message 60,AI,ban_solitary_confinement_juveniles_pythia-1b_1,pythia-1b,pythia,1.0,139.0,1.0,Male,53,45-59,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,100.0,25.0
Message 42,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_3,Llama-2-7b-hf,Llama,3.0,222.0,1.0,Male,32,30-44,4-year college,Independent,2,1,3,70.0,70.0,40.0,60.0,60.0
