arm,trust_climate_scientists,consensus_perceived,belief_human_cause,human_contribution,natural_contribution,evidence_human,evidence_natural,policy_fedgov_more,policy_green_new_deal,policy_paris,policy_priority,trust_pre,belief_pre,party_lean,gender,education,age_band,manip_check
Control (unrelated text),1.0,95.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,7.0,2.0,1.0,1.0,Republican,Male,No degree,18-29,3.0
Control (unrelated text),2.0,90.0,1.0,1.0,3.0,1.0,3.0,2.0,9.0,5.0,2.0,2.0,1.0,Republican,Male,BA+,18-29,3.0
Scientific consensus,2.0,97.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,4.0,1.0,2.0,1.0,Republican,Female,No degree,45-59,1.0
Control (unrelated text),2.0,60.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,2.0,2.0,2.0,Republican,Female,BA+,30-44,3.0
Control (unrelated text),1.0,74.0,2.0,1.0,2.0,1.0,2.0,3.0,6.0,5.0,1.0,2.0,2.0,Democrat,Female,BA+,30-44,1.0
Causal evidence,1.0,76.0,1.0,2.0,2.0,2.0,1.0,2.0,9.0,5.0,1.0,1.0,2.0,Republican,Male,BA+,30-44,2.0
Scientific consensus,2.0,80.0,3.0,2.0,1.0,2.0,1.0,3.0,12.0,7.0,3.0,2.0,2.0,Republican,Male,No degree,45-59,1.0
Control (unrelated text),3.0,85.0,3.0,3.0,2.0,3.0,2.0,3.0,12.0,9.0,4.0,3.0,3.0,Republican,Male,BA+,30-44,3.0
Causal evidence,1.0,98.0,1.0,1.0,2.0,1.0,2.0,2.0,12.0,10.0,2.0,1.0,1.0,Republican,Male,BA+,45-59,2.0
Scientific consensus,3.0,97.0,3.0,3.0,1.0,3.0,1.0,5.0,12.0,9.0,4.0,3.0,3.0,Republican,Male,BA+,30-44,1.0
Scientific consensus,2.0,80.0,2.0,1.0,2.0,1.0,2.0,1.0,9.0,8.0,2.0,2.0,2.0,Republican,Female,No degree,60+,1.0
Scientific consensus,3.0,97.0,1.0,1.0,3.0,1.0,2.0,1.0,7.0,6.0,1.0,4.0,1.0,Republican,Female,BA+,45-59,1.0
Causal evidence,3.0,35.0,3.0,4.0,1.0,3.0,2.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Female,No degree,45-59,2.0
Causal evidence,2.0,70.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,5.0,2.0,2.0,2.0,Republican,Male,BA+,30-44,1.0
Control (unrelated text),3.0,60.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,8.0,2.0,3.0,2.0,Republican,Female,BA+,45-59,3.0
Causal evidence,3.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,7.0,2.0,3.0,2.0,Republican,Female,BA+,30-44,2.0
