gender,age_band,race,education,income,party,weight
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Democrat,0.00015873908665989297
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Independent,0.0002177243242903798
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Other,1.8018235590614816e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Republican,8.176290464116337e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Democrat,0.000100498590295011
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Independent,0.00013675681045236017
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Other,1.1411389942619244e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Republican,4.7660397113050384e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Democrat,0.00011643944269530854
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Independent,0.0001651401068667886
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Other,1.4412093718990097e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Republican,6.283692192208188e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Democrat,0.0001761045308825417
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Independent,0.00024226633531683912
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Other,1.870245545432839e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Republican,9.448519554129408e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Democrat,0.00020312357837862325
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Independent,0.0003565868787395381
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Other,2.3737537429324086e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Republican,0.00010663113002945253
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,7.3643753359924e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,4.4281607136230956e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,1.757995670368918e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Democrat,7.4840111703504534e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Independent,4.464653981512174e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Republican,1.6449078219700363e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Democrat,1.0733921286227945e-05
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Independent,6.67383146054661e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Republican,2.684618897785329e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Democrat,8.75979955377277e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Independent,5.283005881454044e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Republican,2.178195502369743e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"Less than $30,000",Democrat,1.1016130352926903e-05
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"Less than $30,000",Independent,8.478098763229034e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"Less than $30,000",Republican,2.680169071149228e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Democrat,3.407202248681888e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Independent,3.118849869851709e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Other,6.153942922706331e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Republican,3.5803728799380124e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$168,000 or more",Democrat,1.634602658622666e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$168,000 or more",Independent,1.4844811125508174e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$168,000 or more",Other,2.9533705735239753e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$168,000 or more",Republican,1.5814949101930443e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Democrat,4.618773646147465e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Independent,4.371722675857471e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Other,9.096635749276825e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Republican,5.085098558578006e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Democrat,4.7533464289401576e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Independent,4.3641079972681944e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Other,8.032573955928478e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Republican,5.202961527185859e-06
Female,18-29,Asian / Asian American,High school diploma / GED,"Less than $30,000",Democrat,6.838197286394138e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"Less than $30,000",Independent,8.011616051261269e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"Less than $30,000",Other,1.2715812526923585e-05
Female,18-29,Asian / Asian American,High school diploma / GED,"Less than $30,000",Republican,7.323576291702769e-06
Female,18-29,Asian / Asian American,Less than high school,"$100,000 to $167,999",Democrat,7.322214035209088e-06
Female,18-29,Asian / Asian American,Less than high school,"$100,000 to $167,999",Independent,1.2962632010359466e-05
Female,18-29,Asian / Asian American,Less than high school,"$168,000 or more",Democrat,4.9942749602295845e-06
Female,18-29,Asian / Asian American,Less than high school,"$168,000 or more",Independent,8.77180847453507e-06
Female,18-29,Asian / Asian American,Less than high school,"$30,000 to $55,999",Democrat,1.552920390789292e-05
Female,18-29,Asian / Asian American,Less than high school,"$30,000 to $55,999",Independent,2.842688903012213e-05
Female,18-29,Asian / Asian American,Less than high school,"$56,000 to $99,999",Democrat,1.5952612121398564e-05
Female,18-29,Asian / Asian American,Less than high school,"$56,000 to $99,999",Independent,2.8325790860935338e-05
Female,18-29,Asian / Asian American,Less than high school,"Less than $30,000",Democrat,1.5570345558071207e-05
Female,18-29,Asian / Asian American,Less than high school,"Less than $30,000",Independent,3.528019438025462e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,0.00010333287593558556
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Independent,6.28686415202147e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Other,7.213491979534469e-06
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Republican,1.7484510511330716e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Democrat,6.969573620655621e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Independent,4.206953275177751e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Other,4.86702344987882e-06
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Republican,1.0857914666683398e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,8.862717202141117e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$30,000 to $55,999",Independent,5.575602704440293e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$30,000 to $55,999",Other,6.7464064697931125e-06
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$30,000 to $55,999",Republican,1.571173711458853e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,0.00012537832031601898
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Independent,7.650987151130004e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Other,8.188968473759322e-06
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Republican,2.209826672629928e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"Less than $30,000",Democrat,0.00011322673760591807
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"Less than $30,000",Independent,8.817114874051483e-05
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"Less than $30,000",Other,8.137724269284824e-06
Female,18-29,Asian / Asian American,Master's degree / Professional degree,"Less than $30,000",Republican,1.9526085856411816e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Democrat,0.00011211546961881101
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Independent,0.00011178593669178322
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Other,1.7092836725918327e-06
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Republican,2.17814279179297e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Democrat,5.8372272769486986e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Independent,5.774230977184107e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Other,8.902365055931006e-07
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Republican,1.0441254041852093e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,0.0001443236395945291
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Independent,0.00014879504576309518
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Other,2.3993005403869394e-06
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Republican,2.9376539122221907e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,0.00014959893271431824
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Independent,0.00014960619963210684
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Other,2.1339135161609264e-06
Female,18-29,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Republican,3.0274020740271014e-05
Female,18-29,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Democrat,0.00023726622839592346
Female,18-29,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Independent,0.00030278858754410784
Female,18-29,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Other,3.7241869192237246e-06
Female,18-29,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Republican,4.697945477362751e-05
Female,18-29,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat,0.00021244561491013826
Female,18-29,Black / African American,Bachelor's degree,"$100,000 to $167,999",Independent,0.00014544574925159592
Female,18-29,Black / African American,Bachelor's degree,"$100,000 to $167,999",Other,4.513705601874139e-06
Female,18-29,Black / African American,Bachelor's degree,"$100,000 to $167,999",Republican,4.612147453963736e-05
Female,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,8.367362429369994e-05
Female,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Independent,5.6833939659864956e-05
Female,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Other,1.7783786313112044e-06
Female,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Republican,1.672512011708583e-05
Female,18-29,Black / African American,Bachelor's degree,"$30,000 to $55,999",Democrat,0.00031841187348775977
Female,18-29,Black / African American,Bachelor's degree,"$30,000 to $55,999",Independent,0.00014846048481339212
Female,18-29,Black / African American,Bachelor's degree,"$30,000 to $55,999",Republican,0.00013369802593152003
Female,18-29,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,0.00034537561828438943
Female,18-29,Black / African American,Bachelor's degree,"$56,000 to $99,999",Independent,0.0002702019863583217
Female,18-29,Black / African American,Bachelor's degree,"$56,000 to $99,999",Other,1.3613406279781468e-05
Female,18-29,Black / African American,Bachelor's degree,"$56,000 to $99,999",Republican,5.416601727781695e-05
Female,18-29,Black / African American,Bachelor's degree,"Less than $30,000",Democrat,0.0002888775590932287
Female,18-29,Black / African American,Bachelor's degree,"Less than $30,000",Independent,0.0002531331440035402
Female,18-29,Black / African American,Bachelor's degree,"Less than $30,000",Other,6.3189686978751886e-06
Female,18-29,Black / African American,Bachelor's degree,"Less than $30,000",Republican,6.391759958578395e-05
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,4.666695898778644e-06
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,1.3504506000257201e-06
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Other,2.480385566418323e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,6.366360096279796e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$168,000 or more",Democrat,2.7806811688013476e-06
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$168,000 or more",Independent,7.983371066816862e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$168,000 or more",Other,1.4784651167197168e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$168,000 or more",Republican,3.492674766303191e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Democrat,1.6019029788969252e-06
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Independent,4.793301849067909e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Other,9.284199811861739e-08
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Republican,2.2896033812909877e-07
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Democrat,4.984320974094864e-06
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Independent,1.4466872981649547e-06
Female,18-29,Black / African American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Other,2.4786511697760914e-07
