gender,age_band,race,education,income,party,weight
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Democrat,0.00016464608917239997
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Independent,0.0002269481888558362
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Other,1.858332902892963e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Republican,8.189145416746135e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Democrat,0.00010089672283645666
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Independent,0.0001390760547324414
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Other,1.1388044549587147e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$168,000 or more",Republican,5.018387861710489e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Democrat,0.00012437527867648253
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Independent,0.00017143889888882516
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Other,1.4038029924231785e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Republican,6.186161168174162e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Democrat,0.00018484906274213015
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Independent,0.00025479597002209036
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Other,2.0863604904877937e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"$56,000 to $99,999",Republican,9.19399824528774e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Democrat,0.00023090807883325163
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Independent,0.000318283723268489
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Other,2.6062209105393386e-05
Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Republican,0.00011484875498542746
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,7.3592572098379766e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,4.777207377577197e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,1.7850044618482328e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Democrat,7.239057770636726e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Independent,4.699180800796434e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Republican,1.755849816322451e-06
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Democrat,1.1046453782265377e-05
Female,18-29,Asian / Asian American,Doctorate degree / Ph.D.,"$30,000 to $55,999",Independent,7.1707237564897655e-06
